Date,Open,High,Low,Close,Volume,NASDAQ
2020-07-20,9187.220703,9214.270508,9137.509766,9164.231445,13755604146.0,10767.08984
2020-07-21,9162.514648,9407.262695,9149.389648,9374.887695,18069581956.0,10680.36035
2020-07-22,9375.080078,9530.518555,9319.65332,9525.363281,16532254884.0,10706.12988
2020-07-23,9527.141602,9610.24707,9483.003906,9581.072266,18146399002.0,10461.41992
2020-07-24,9585.514648,9623.336914,9481.454102,9536.892578,16552768325.0,10363.17969
2020-07-25,9539.485352,9704.556641,9530.211914,9677.113281,16610070933.0,10363.17969
2020-07-26,9680.234375,10023.80762,9652.847656,9905.166992,20507998997.0,10363.17969
2020-07-27,9905.217773,11298.22168,9903.969727,10990.87305,35359749590.0,10536.26953
2020-07-28,11017.46387,11204.32715,10632.63184,10912.82324,28766551142.0,10402.08984
2020-07-29,10912.95313,11304.39746,10856.1416,11100.46777,24617249715.0,10542.94043
2020-07-30,11099.83301,11169.35645,10895.45508,11111.21387,22857247901.0,10587.80957
2020-07-31,11110.21094,11415.86426,10987.05371,11323.4668,23160469766.0,10745.26953
2020-08-01,11322.57031,11794.77539,11239.68262,11759.59277,26075670303.0,10745.26953
2020-08-02,11758.76465,12034.14453,11018.12988,11053.61426,27410067336.0,10745.26953
2020-08-03,11043.76856,11453.0791,11012.41504,11246.34863,20271713443.0,10902.7998
2020-08-04,11246.20313,11385.38184,11094.14551,11205.89258,21250197042.0,10941.16992
2020-08-05,11203.82324,11786.61719,11158.28516,11747.02246,24411254471.0,10998.40039
2020-08-06,11749.87109,11902.33594,11598.71387,11779.77344,23400740340.0,11108.07031
2020-08-07,11778.89453,11898.03809,11408.59375,11601.47266,23132312867.0,11010.98047
2020-08-08,11604.55371,11800.06445,11558.43164,11754.0459,17572057837.0,11010.98047
2020-08-09,11737.3252,11806.05664,11548.78418,11675.73926,17489608833.0,11010.98047
2020-08-10,11662.25684,12045.14063,11662.25684,11878.11133,26114112569.0,10968.36035
2020-08-11,11881.64746,11932.71094,11195.70898,11410.52539,27039782640.0,10782.82031
2020-08-12,11404.59668,11748.39648,11249.60547,11584.93457,25064548486.0,11012.24023
2020-08-13,11588.40527,11796.39648,11216.87207,11784.1377,27522199497.0,11042.5
2020-08-14,11772.65918,12150.99414,11685.45508,11768.87109,24237958589.0,11019.2998
2020-08-15,11768.69727,11963.20313,11768.69727,11865.69824,23354924400.0,11019.2998
2020-08-16,11866.68555,11934.90137,11737.18848,11892.80371,20583375490.0,11019.2998
2020-08-17,11895.6582,12359.05664,11806.69629,12254.40234,28227687027.0,11129.73047
2020-08-18,12251.89551,12335.70703,11954.52539,11991.2334,26043227672.0,11210.83984
2020-08-19,11990.88477,12028.92383,11687.33301,11758.2832,24502851117.0,11146.45996
2020-08-20,11761.5,11900.41113,11710.06348,11878.37207,20175242945.0,11264.9502
2020-08-21,11878.02637,11899.25977,11564.97949,11592.48926,23762425999.0,11311.7998
2020-08-22,11585.47754,11689.40723,11448.80566,11681.8252,20224191306.0,11311.7998
2020-08-23,11679.69629,11713.42969,11559.9209,11664.84766,18482062658.0,11311.7998
2020-08-24,11663.68945,11807.63184,11623.25,11774.5957,20681511755.0,11379.71973
2020-08-25,11773.58887,11778.29981,11189.85059,11366.13477,26301509932.0,11466.46973
2020-08-26,11366.89453,11530.05273,11296.99316,11488.36328,22466660958.0,11665.05957
2020-08-27,11485.6084,11570.78613,11185.94141,11323.39746,23240415076.0,11625.33984
2020-08-28,11325.2959,11545.61523,11316.42285,11542.5,19807127588.0,11695.62988
2020-08-29,11541.05469,11585.64063,11466.29297,11506.86523,17485597759.0,11695.62988
2020-08-30,11508.71387,11715.26465,11492.38184,11711.50586,19760127945.0,11695.62988
2020-08-31,11713.30664,11768.87695,11598.31836,11680.82031,22285928250.0,11775.45996
2020-09-01,11679.31641,12067.08106,11601.12891,11970.47852,27311555343.0,11939.66992
2020-09-02,11964.82324,11964.82324,11290.79395,11414.03418,28037405299.0,12056.44043
2020-09-03,11407.19141,11443.02246,10182.46484,10245.29688,31927261555.0,11458.09961
2020-09-04,10230.36523,10663.91992,10207.94043,10511.81348,29965130374.0,11313.12988
2020-09-05,10512.53027,10581.57129,9946.675781,10169.56738,44916565292.0,11313.12988
2020-09-06,10167.2168,10353.92773,10056.88574,10280.35156,37071460174.0,11313.12988
2020-09-07,10280.99805,10399.15332,9916.493164,10369.56348,33703098409.0,11313.12988
2020-09-08,10369.30664,10414.77539,9945.110352,10131.5166,33430927462.0,10847.69043
2020-09-09,10134.15137,10350.54297,10017.25098,10242.34766,24128292755.0,11141.55957
2020-09-10,10242.33008,10503.91211,10238.13574,10363.13867,54406443211.0,10919.58984
2020-09-11,10369.02832,10434.92285,10140.83691,10400.91504,45201121775.0,10853.5498
2020-09-12,10409.86133,10578.83789,10292.38672,10442.1709,36750077324.0,10853.5498
2020-09-13,10452.39941,10577.21484,10224.33008,10323.75586,36506852789.0,10853.5498
2020-09-14,10328.73438,10800.01074,10266.00879,10680.83789,35453581940.0,11056.65039
2020-09-15,10677.75488,10938.63184,10656.45996,10796.95117,32509451925.0,11190.32031
2020-09-16,10797.76172,11100.12402,10704.88477,10974.90527,30769986455.0,11050.46973
2020-09-17,10973.25195,11037.4209,10774.62793,10948.99023,38151810523.0,10910.28027
